# source: topology|BGP|20100129|routeviews2
# source: topology|BGP|20100129|Ripe NCC RCC12
# type    label
# ----    -----
#   -1    customer
#    0    peer
# format:as0 | as1 | type
174|8079|-1
174|8097|-1
174|8111|-1
174|8117|-1
174|8148|-1
174|8149|-1
174|8167|-1
174|8201|-1
174|8224|-1
174|8237|-1
174|8247|-1
174|8265|-1
174|8266|-1
174|8271|-1
174|8304|-1
174|8309|-1
174|8311|-1
174|8318|-1
174|8359|-1
174|8368|-1
174|8391|-1
174|8400|-1
174|8401|-1
174|8402|-1
174|8412|-1
174|8452|-1
174|8476|-1
174|8487|-1
174|8514|-1
174|8527|-1
174|8530|-1
174|8544|-1
174|8560|-1
174|8561|-1
174|8565|-1
174|8591|-1
174|8596|-1
174|8608|-1
174|8657|-1
174|8669|-1
174|8689|-1
174|8708|-1
174|8723|-1
174|8728|-1
174|8732|-1
174|8751|-1
174|8763|-1
174|8778|-1
174|8787|-1
174|8805|-1
174|8816|-1
174|8839|-1
174|8851|-1
174|8871|-1
174|8881|-1
174|8902|-1
174|8903|-1
174|8912|-1
174|8921|-1
174|8922|-1
174|8953|-1
174|8966|-1
174|8972|-1
174|8999|-1
174|9052|-1
174|9070|-1
174|9075|-1
174|9092|-1
174|9127|-1
174|9142|-1
174|9143|-1
174|9145|-1
174|9165|-1
174|9167|-1
174|9186|-1
174|9191|-1
174|9246|-1
174|9416|-1
174|9505|-1
174|9680|-1
174|10026|-1
174|10240|-1
174|10242|-1
174|10264|-1
174|10265|-1
174|10279|-1
174|10282|-1
174|10297|-1
174|10298|-1
174|10310|-1
174|10326|-1
174|10355|-1
174|10400|-1
174|10439|-1
174|10448|-1
174|10466|-1
174|10490|-1
174|10561|-1
174|10566|-1
174|10607|-1
174|10653|-1
174|10655|-1
174|10661|-1
174|10674|-1
174|10692|-1
174|10708|-1
174|10738|-1
174|10790|-1
174|10808|-1
174|10823|-1
174|10835|-1
174|10849|-1
174|10886|-1
174|10912|-1
174|10913|-1
174|10949|-1
174|10961|-1
174|10970|-1
174|10980|-1
174|10993|-1
174|11005|-1
174|11010|-1
174|11036|-1
174|11039|-1
174|11055|-1
174|11057|-1
174|11059|-1
174|11077|-1
174|11088|-1
174|11092|-1
174|11096|-1
174|11114|-1
174|11154|-1
174|11160|-1
174|11164|-1
174|11168|-1
174|11186|-1
174|11190|-1
174|11218|-1
174|11221|-1
174|11233|-1
174|11240|-1
174|11251|-1
174|11264|-1
174|11318|-1
174|11331|-1
174|11342|-1
174|11358|-1
174|11361|-1
174|11382|-1
174|11383|-1
174|11393|-1
174|11396|-1
174|11398|-1
174|11403|-1
174|11404|-1
174|11417|-1
174|11430|-1
174|11452|-1
174|11457|-1
174|11478|-1
174|11482|-1
174|11488|-1
174|11500|-1
174|11504|-1
174|11513|-1
174|11522|-1
174|11524|-1
174|11545|-1
174|11550|-1
174|11551|-1
174|11590|-1
174|11605|-1
174|11624|-1
174|11636|-1
174|11640|-1
174|11647|-1
174|11686|-1
174|11691|-1
174|11700|-1
174|11703|-1
174|11715|-1
174|11720|-1
174|11745|-1
174|11755|-1
174|11765|-1
174|11766|-1
174|11783|-1
174|11814|-1
174|11817|-1
174|11820|-1
174|11825|-1
174|11832|-1
174|11834|-1
174|11837|-1
174|11852|-1
174|11854|-1
174|11872|-1
174|11879|-1
174|11884|-1
174|11888|-1
174|11914|-1
174|11928|-1
174|11939|-1
174|11941|-1
174|11943|-1
174|11963|-1
174|11967|-1
174|11975|-1
174|11981|-1
174|11982|-1
174|11992|-1
174|12021|-1
174|12028|-1
174|12038|-1
174|12042|-1
174|12044|-1
174|12074|-1
174|12080|-1
174|12093|-1
174|12111|-1
174|12129|-1
174|12130|-1
174|12142|-1
174|12157|-1
174|12173|-1
174|12179|-1
174|12180|-1
174|12182|-1
174|12188|-1
174|12196|-1
174|12200|-1
174|12208|-1
174|12214|-1
174|12238|-1
174|12260|-1
174|12267|-1
174|12284|-1
174|12293|-1
174|12305|-1
174|12321|-1
174|12322|-1
174|12333|-1
174|12334|-1
174|12338|-1
174|12347|-1
174|12355|-1
174|12362|-1
174|12387|-1
174|12388|-1
174|12409|-1
174|12470|-1
174|12479|-1
174|12488|-1
174|12512|-1
174|12518|-1
174|12521|-1
174|12533|-1
174|12542|-1
174|12565|-1
174|12614|-1
174|12615|-1
174|12637|-1
174|12676|-1
174|12695|-1
174|12713|-1
174|12715|-1
174|12727|-1
174|12732|-1
174|12735|-1
174|12773|-1
174|12778|-1
174|12804|-1
174|12822|-1
174|12826|-1
174|12845|-1
174|12855|-1
174|12860|-1
174|12874|-1
174|12883|-1
174|12910|-1
174|12926|-1
174|12946|-1
174|12956|-1
174|12961|-1
174|12969|-1
174|13001|-1
174|13009|-1
174|13036|-1
174|13039|-1
174|13046|-1
174|13049|-1
174|13127|-1
174|13188|-1
174|13222|-1
174|13226|-1
174|13249|-1
174|13273|-1
174|13276|-1
174|13287|-1
174|13319|-1
174|13326|-1
174|13331|-1
174|13332|-1
174|13333|-1
174|13345|-1
174|13354|-1
174|13356|-1
174|13360|-1
174|13372|-1
174|13389|-1
174|13409|-1
174|13431|-1
174|13437|-1
174|13441|-1
174|13443|-1
174|13446|-1
174|13448|-1
174|13464|-1
174|13486|-1
174|13490|-1
174|13517|-1
174|13536|-1
174|13570|-1
174|13576|-1
174|13582|-1
174|13618|-1
174|13619|-1
174|13621|-1
174|13660|-1
174|13692|-1
174|13696|-1
174|13703|-1
174|13707|-1
174|13711|-1
174|13734|-1
174|13768|-1
174|13789|-1
174|13794|-1
174|13802|-1
174|13818|-1
174|13821|-1
174|13826|-1
174|13832|-1
174|13849|-1
174|13853|-1
174|13857|-1
174|13862|-1
174|13868|-1
174|13871|-1
174|13873|-1
174|13949|-1
174|13951|-1
174|13956|-1
174|13971|-1
174|13992|-1
174|14006|-1
174|14015|-1
174|14025|-1
174|14075|-1
174|14093|-1
174|14123|-1
174|14133|-1
174|14148|-1
174|14150|-1
174|14166|-1
174|14178|-1
174|14203|-1
174|14205|-1
174|14218|-1
174|14230|-1
174|14238|-1
174|14313|-1
174|14325|-1
174|14327|-1
174|14341|-1
174|14360|-1
174|14366|-1
174|14383|-1
174|14387|-1
174|14447|-1
174|14453|-1
174|14454|-1
174|14456|-1
174|14464|-1
174|14465|-1
174|14469|-1
174|14479|-1
174|14488|-1
174|14497|-1
174|14502|-1
174|14533|-1
174|14577|-1
174|14585|-1
174|14608|-1
174|14619|-1
174|14627|-1
174|14633|-1
174|14652|-1
174|14653|-1
174|14661|-1
174|14672|-1
174|14688|-1
174|14717|-1
174|14718|-1
174|14744|-1
174|14745|-1
174|14753|-1
174|14755|-1
174|14756|-1
174|14788|-1
174|14825|-1
174|14832|-1
174|14833|-1
174|14843|-1
174|14865|-1
174|14906|-1
174|14929|-1
174|14969|-1
174|14996|-1
174|15024|-1
174|15028|-1
174|15041|-1
174|15042|-1
174|15069|-1
174|15076|-1
174|15080|-1
174|15083|-1
174|15092|-1
174|15158|-1
174|15168|-1
174|15169|-1
174|15204|-1
174|15206|-1
174|15216|-1
174|15235|-1
174|15244|-1
174|15247|-1
174|15250|-1
174|15266|-1
174|15267|-1
174|15290|-1
174|15301|-1
174|15320|-1
174|15325|-1
174|15345|-1
174|15354|-1
174|15388|-1
174|15401|-1
174|15412|-1
174|15421|-1
174|15425|-1
174|15426|-1
174|15463|-1
174|15467|-1
174|15479|-1
174|15509|-1
174|15533|-1
174|15548|-1
174|15557|-1
174|15566|-1
174|15570|-1
174|15576|-1
174|15589|-1
174|15597|-1
174|15612|-1
174|15614|-1
174|15654|-1
174|15692|-1
174|15699|-1
174|15704|-1
174|15772|-1
174|15826|-1
174|15838|-1
174|15844|-1
174|15876|-1
174|15915|-1
174|15919|-1
174|15935|-1
174|15943|-1
174|15954|-1
174|15960|-1
174|16004|-1
174|16016|-1
174|16039|-1
174|16046|-1
174|16065|-1
174|16073|-1
174|16082|-1
174|16154|-1
174|16164|-1
174|16168|-1
174|16171|-1
174|16186|-1
174|16195|-1
174|16206|-1
174|16211|-1
174|16215|-1
174|16237|-1
174|16238|-1
174|16243|-1
174|16302|-1
174|16303|-1
174|16320|-1
174|16334|-1
174|16338|-1
174|16347|-1
174|16353|-1
174|16362|-1
174|16371|-1
174|16378|-1
174|16407|-1
174|16409|-1
174|16423|-1
174|16469|-1
174|16475|-1
174|16477|-1
174|16517|-1
174|16523|-1
174|16532|-1
174|16551|-1
174|16557|-1
174|16559|-1
174|16561|-1
174|16563|-1
174|16581|-1
174|16617|-1
174|16642|-1
174|16653|-1
174|16713|-1
174|16718|-1
174|16757|-1
174|16760|-1
174|16810|-1
174|16812|-1
174|16813|-1
174|16815|-1
174|16830|-1
174|16833|-1
174|16844|-1
174|16909|-1
174|16912|-1
174|16941|-1
174|16947|-1
174|16949|-1
174|16960|-1
174|16970|-1
174|16991|-1
174|17002|-1
174|17003|-1
174|17013|-1
174|17028|-1
174|17050|-1
174|17060|-1
174|17074|-1
174|17078|-1
174|17088|-1
174|17134|-1
174|17149|-1
174|17185|-1
174|17221|-1
174|17248|-1
174|17262|-1
174|17279|-1
174|17297|-1
174|17303|-1
174|17316|-1
174|17317|-1
174|17347|-1
174|17356|-1
174|17357|-1
174|17361|-1
174|17368|-1
174|17369|-1
174|17395|-1
174|17397|-1
174|17405|-1
174|17557|-1
174|18433|-1
174|18450|-1
174|18454|-1
174|18470|-1
174|18485|-1
174|18486|-1
174|18487|-1
174|18489|-1
174|18490|-1
174|18491|-1
174|18505|-1
174|18510|-1
174|18518|-1
174|18529|-1
174|18530|-1
174|18533|-1
174|18559|-1
174|18580|-1
174|18590|-1
174|18621|-1
174|18650|-1
174|18683|-1
174|18688|-1
174|18689|-1
174|18712|-1
174|18714|-1
174|18736|-1
174|18749|-1
174|18788|-1
174|18794|-1
174|18838|-1
174|18859|-1
174|18886|-1
174|18901|-1
174|18918|-1
174|18923|-1
174|18927|-1
174|18972|-1
174|19007|-1
174|19021|-1
174|19024|-1
174|19051|-1
174|19082|-1
174|19092|-1
174|19102|-1
174|19104|-1
174|19108|-1
174|19128|-1
174|19159|-1
174|19165|-1
174|19166|-1
174|19211|-1
174|19234|-1
174|19237|-1
174|19246|-1
174|19262|-1
174|19268|-1
174|19277|-1
174|19285|-1
174|19313|-1
174|19316|-1
174|19332|-1
174|19355|-1
174|19397|-1
174|19404|-1
174|19406|-1
174|19426|-1
174|19435|-1
174|19452|-1
174|19453|-1
174|19457|-1
174|19470|-1
174|19475|-1
174|19523|-1
174|19527|-1
174|19543|-1
174|19557|-1
174|19570|-1
174|19624|-1
174|19637|-1
174|19640|-1
174|19642|-1
174|19659|-1
174|19689|-1
174|19704|-1
174|19722|-1
174|19730|-1
174|19764|-1
174|19786|-1
174|19791|-1
174|19803|-1
174|19804|-1
174|19806|-1
174|19808|-1
174|19817|-1
174|19840|-1
174|19853|-1
174|19858|-1
174|19864|-1
174|19896|-1
174|19912|-1
174|19921|-1
174|19942|-1
174|19966|-1
174|19969|-1
174|19970|-1
174|19982|-1
174|19995|-1
174|20012|-1
174|20053|-1
174|20075|-1
174|20077|-1
174|20078|-1
174|20079|-1
174|20096|-1
174|20129|-1
174|20130|-1
174|20143|-1
174|20159|-1
174|20171|-1
174|20179|-1
174|20197|-1
174|20202|-1
174|20205|-1
174|20223|-1
174|20225|-1
174|20233|-1
174|20247|-1
174|20248|-1
174|20249|-1
174|20252|-1
174|20254|-1
174|20275|-1
174|20286|-1
174|20313|-1
174|20330|-1
174|20365|-1
174|20391|-1
174|20406|-1
174|20410|-1
174|20413|-1
174|20428|-1
174|20440|-1
174|20500|-1
174|20507|-1
174|20542|-1
174|20569|-1
174|20617|-1
174|20618|-1
174|20634|-1
174|20645|-1
174|20679|-1
174|20718|-1
174|20721|-1
174|20722|-1
174|20764|-1
174|20771|-1
174|20776|-1
174|20782|-1
174|20815|-1
174|20825|-1
174|20847|-1
174|20850|-1
174|20857|-1
174|20860|-1
174|20877|-1
174|20893|-1
174|20900|-1
174|20912|-1
174|20926|-1
174|20969|-1
174|20994|-1
174|21011|-1
